ID (GT),Missing Time Points,ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
1711,17,3505,416.727,491.636,6.0,416.06027,494.84778,4.7360296,17.0,15.0,9.0,1.0,4.336,35.0,33.0,13.61,-1.952,-0.2223,3.515349318826789,,
1711,18,3505,416.727,492.273,5.818,417.38257,495.92435,3.970746,18.0,15.0,9.0,1.0,5.96,35.0,33.0,14.664,-0.1859,-0.4727,4.144209959439298,,
1711,19,3511,417.182,491.818,5.818,419.3916,492.03085,2.9988847,19.0,15.0,9.0,1.0,5.188,35.0,18.0,12.234,1.999,-0.073,3.588181762006203,,
1715,21,1641,177.0,141.0,8.909,179.15436,146.96994,1.5867467,21.0,20.0,1.0,1.0,3.002,8.0,21.0,5.984,-0.04013,0.243,9.690038390148976,,
1715,27,5846,134.727,139.182,5.364,130.61365,139.64064,0.34715986,27.0,20.0,22.0,1.0,2.355,8.0,8.0,-2.348,1.7,-0.5034,6.503743834316908,,
1717,15,2380,453.182,308.182,-0.727,450.32086,305.6826,1.2512131,15.0,15.0,3.0,1.0,3.256,18.0,41.0,4.72,0.9272,0.463,4.283275560667559,,
1717,18,2380,452.455,308.182,-0.727,449.56296,305.34915,1.3805157,18.0,15.0,3.0,1.0,3.086,18.0,41.0,6.14,-0.3748,0.2203,4.56405049378801,,
1719,15,4044,475.455,381.455,7.636,482.9131,382.11386,5.8533635,15.0,15.0,12.0,1.0,3.557,62.0,16.0,3.467,-0.8853,0.5845,7.696437162787225,,
1719,24,4889,477.727,381.182,7.727,476.80066,380.8682,4.271608,24.0,15.0,17.0,1.0,5.03,62.0,34.0,11.38,-0.3857,0.2957,3.5911432872086824,,
1721,23,5925,297.273,480.273,4.455,293.30032,482.36694,4.0442295,23.0,15.0,22.0,1.0,4.13,13.0,9.0,10.46,0.1632,0.1592,4.5094903824789725,,
1728,15,763,381.364,243.545,1.364,373.81793,233.89592,4.2325215,15.0,15.0,0.0,1.0,2.645,21.0,30.0,2.014,0.2595,0.1164,12.580792220176836,,
1730,24,3550,152.545,437.455,2.909,155.5195,435.47015,4.388765,24.0,15.0,9.0,1.0,7.395,36.0,53.0,18.84,-1.025,0.632,3.8700108821197152,,
1736,25,139,217.545,195.909,9.818,217.09303,195.97398,6.1287055,25.0,24.0,0.0,1.0,4.24,10.0,25.0,8.23,-1.987,-1.315,3.717444443301102,,
1736,26,139,217.909,195.818,9.636,216.03047,197.51044,6.2656884,26.0,24.0,0.0,1.0,3.39,10.0,25.0,5.47,-2.873,-0.616,4.213339340190203,,
1736,33,139,220.0,198.727,9.818,221.08243,199.09375,6.5007033,33.0,24.0,0.0,1.0,2.32,10.0,25.0,-0.4907,-0.303,0.3303,3.5086489797685463,,
1738,16,2737,329.182,435.182,2.182,323.9995,431.6273,7.999988,16.0,16.0,5.0,1.0,4.562,5.0,15.0,-6.76,1.652,-0.4983,8.564063446060183,,
1740,18,4702,378.636,126.182,5.818,376.999,137.99963,7.9999785,18.0,16.0,16.0,1.0,8.4,63.0,4.0,-8.28,0.5776,1.064,12.128362543697405,,
1740,27,2166,366.636,152.727,6.364,367.75674,154.41978,3.4533155,27.0,16.0,3.0,1.0,4.953,63.0,85.0,11.984,-0.2979,0.1354,3.548752813953114,,
1744,17,848,341.818,396.0,9.455,338.78384,395.8174,6.574019,17.0,16.0,0.0,1.0,3.771,19.0,22.0,8.39,-2.582,-0.2263,4.188021154192145,,
1749,20,4879,188.455,367.727,3.909,193.80437,363.40887,3.984011,20.0,16.0,17.0,1.0,3.316,11.0,26.0,6.543,-1.14,-0.00145,6.875146016189103,,
1751,18,26,278.636,18.091,8.455,282.76782,21.157299,0.33256653,18.0,16.0,0.0,1.0,3.32,6.0,30.0,1.054,4.37,0.6436,9.61499097994256,,
1753,19,4883,246.909,366.909,2.0,251.19272,361.62976,1.7631308,19.0,16.0,17.0,1.0,4.855,35.0,10.0,11.2,1.754,-0.5283,6.802700863179929,,
1755,19,1538,167.182,505.545,6.091,169.02034,505.41403,2.8198707,19.0,16.0,1.0,1.0,5.316,12.0,17.0,13.305,0.67,-0.5435,3.754588392063576,,
1755,23,1538,166.273,508.273,5.909,168.27002,507.3931,2.9913917,23.0,16.0,1.0,1.0,6.547,12.0,17.0,14.42,2.0,0.1617,3.6434531810672266,,
1755,25,5957,166.727,509.182,5.727,168.48799,507.56363,2.7639315,25.0,16.0,22.0,1.0,6.254,12.0,51.0,14.51,1.932,0.03186,3.807884212091055,,
1759,18,4506,106.727,400.0,1.455,104.47871,412.49246,0.0,18.0,16.0,15.0,1.0,0.3333,24.0,8.0,-5.45,2.771,1.076,12.776282314339326,,
1761,50,10120,2.455,169.273,5.636,0.9333332,165.02998,7.7566657,50.0,16.0,45.0,1.0,1.919,35.0,17.0,-2.396,-2.734,-0.0764,4.981557144285183,,
1763,46,5834,66.364,164.091,8.182,70.77663,162.31526,4.447573,46.0,32.0,22.0,1.0,3.89,25.0,30.0,6.45,0.797,-0.2021,6.047354883155856,,
1765,16,1877,199.818,45.364,9.364,198.19637,44.044647,6.094436,16.0,16.0,2.0,1.0,4.062,17.0,18.0,8.04,-1.553,-0.1295,3.880776332849529,,
1765,17,1877,200.727,46.273,9.273,198.46391,48.04741,6.0819516,17.0,16.0,2.0,1.0,4.11,17.0,18.0,6.15,-1.503,-0.2231,4.295683541340373,,
1775,16,82,440.455,72.0,0.636,433.74377,64.90192,2.7550561,16.0,16.0,0.0,1.0,2.701,16.0,29.0,8.11,1.252,-0.07587,9.995686397353968,,
1775,17,82,440.364,72.0,0.545,433.9992,65.449486,2.6505928,17.0,16.0,0.0,1.0,3.361,16.0,29.0,5.637,0.9604,0.07587,9.373016256446371,,
1775,30,4713,433.818,74.909,0.091,432.43985,71.347664,1.1124054,30.0,16.0,16.0,1.0,4.22,16.0,37.0,8.77,2.18,-0.0914,3.9529331538169545,,
1777,16,9,95.455,17.182,8.909,94.23405,15.533608,5.4478087,16.0,16.0,0.0,1.0,3.924,22.0,32.0,7.05,-2.129,0.3875,4.023401583655265,,
1777,31,9,78.545,20.364,8.0,82.84008,18.752695,2.3454983,31.0,16.0,0.0,1.0,3.672,22.0,32.0,9.16,1.451,0.546,7.28130520475058,,
1779,36,7206,451.636,12.273,0.727,453.19434,15.226339,2.5970867,36.0,16.0,29.0,1.0,5.164,39.0,20.0,10.41,0.1378,-0.4,3.827252156578901,,
1784,31,7499,312.727,186.636,7.091,301.96634,182.96649,7.999997,31.0,17.0,31.0,1.0,2.268,83.0,5.0,-5.52,-0.6313,0.05923,11.405410243463775,,
1787,34,3925,153.182,125.727,-0.091,153.15315,122.66227,2.9855661,34.0,17.0,12.0,1.0,4.492,25.0,23.0,12.57,1.116,-0.4792,4.342656014821942,,
1788,32,2099,334.091,510.636,9.0,331.60196,510.37546,5.952126,32.0,17.0,2.0,1.0,3.348,17.0,44.0,-1.596,-0.2102,1.366,3.943695872284775,,
1789,30,6247,453.0,265.727,6.364,449.07697,264.6121,0.8365115,30.0,17.0,24.0,1.0,2.035,30.0,8.0,-0.2778,-0.1313,0.2488,6.869228159592026,,
1798,29,7026,18.455,243.364,9.727,10.734231,236.8558,6.983231,29.0,27.0,28.0,1.0,3.438,8.0,7.0,5.582,-3.666,-0.6504,10.463995867579564,,
1798,31,287,18.636,243.727,9.818,11.182609,239.06216,6.5357637,31.0,27.0,0.0,1.0,2.738,8.0,18.0,9.555,-3.467,-0.805,9.385459219106895,,
1799,28,5600,463.818,11.818,9.273,468.54428,14.650726,4.381628,28.0,27.0,20.0,1.0,3.826,13.0,19.0,6.77,-0.92,-0.1624,7.36801053689938,,
1800,17,4381,151.455,216.273,3.636,149.99962,225.99942,7.9999795,17.0,17.0,14.0,1.0,9.77,13.0,5.0,-5.695,2.262,0.0724,10.759446734717365,,
1800,18,5070,151.909,216.545,3.273,141.44853,215.79169,3.7724144,18.0,17.0,18.0,1.0,3.346,13.0,16.0,1.429,-0.708,0.1576,10.49944395289232,,
1804,18,4883,247.545,375.909,1.636,248.825,365.5286,1.9560789,18.0,17.0,17.0,1.0,4.38,25.0,10.0,10.56,0.649,-1.156,10.463916793544634,,
1804,41,9365,231.091,389.273,0.364,233.37198,393.47314,7.9999986,41.0,17.0,41.0,1.0,2.18,25.0,9.0,-2.123,0.2297,0.4434,9.008469370498062,,
1805,25,3249,483.727,157.545,8.818,485.87088,159.30101,6.600296,25.0,17.0,8.0,1.0,5.168,20.0,35.0,13.37,-3.121,-0.5054,3.5493666485890287,,
1805,30,3249,482.636,159.909,9.273,485.29465,160.08061,6.358359,30.0,17.0,8.0,1.0,3.336,20.0,35.0,5.54,-1.906,-0.414,3.948797535134059,,
1805,32,3249,484.727,162.182,9.455,486.17706,161.81577,6.065535,32.0,17.0,8.0,1.0,3.768,20.0,35.0,8.445,-1.303,0.03607,3.704763339637908,,
1805,33,6624,484.727,162.364,9.636,485.71454,161.57622,6.074786,33.0,17.0,26.0,1.0,4.96,20.0,9.0,7.582,-1.638,-0.4216,3.77863437418812,,
1805,34,7979,483.182,162.636,9.545,487.12595,160.57716,5.339884,34.0,17.0,34.0,1.0,4.656,20.0,21.0,7.055,-0.3188,-0.1799,6.121810542768847,,
1805,35,7867,481.727,162.636,9.545,473.3839,170.53543,6.0674734,35.0,17.0,33.0,1.0,3.816,20.0,19.0,4.832,-0.2178,-0.3372,12.00422855449726,,
1806,19,4884,258.273,443.091,-0.909,255.22186,440.0025,1.3009026,19.0,17.0,17.0,1.0,4.043,8.0,22.0,4.594,1.496,0.03735,4.871545653187192,,
1806,23,3531,259.727,443.0,-0.636,257.00937,445.08395,0.7176551,23.0,17.0,9.0,1.0,2.914,8.0,47.0,2.361,2.137,0.1703,3.682491350859632,,
1808,52,6952,41.0,219.636,-0.818,45.54301,218.74988,1.4628676,52.0,51.0,28.0,1.0,3.639,8.0,40.0,5.367,0.4502,0.468,5.160087743752987,,
1809,19,2777,323.0,507.818,7.727,325.54626,509.77005,3.8487127,19.0,17.0,5.0,1.0,6.324,19.0,29.0,12.73,-0.707,0.4167,5.033393643600861,,
1811,18,4625,353.182,137.364,2.182,344.09235,134.71729,3.5339823,18.0,17.0,15.0,1.0,4.22,54.0,10.0,3.3,-1.17,0.5747,9.563193351915116,,
1811,19,4625,348.455,140.818,2.182,340.20963,137.52844,3.031026,19.0,17.0,15.0,1.0,3.533,54.0,10.0,6.96,1.639,0.0454,8.917857174185725,,
1812,36,3972,370.364,259.0,9.818,370.10587,255.89265,6.421603,36.0,17.0,12.0,1.0,4.11,20.0,27.0,6.02,-1.046,0.02399,4.610614677134598,,
1816,26,4086,122.909,495.091,9.727,123.396904,495.28552,5.7135105,26.0,17.0,13.0,1.0,3.834,13.0,28.0,7.934,-1.336,-0.8867,4.047713713965732,,
1816,28,5820,122.091,494.818,9.545,122.90062,494.7598,5.2022166,28.0,17.0,22.0,1.0,4.984,13.0,8.0,8.54,-0.9316,0.051,4.417990430468991,,
1816,29,5820,122.636,494.727,9.636,123.20601,494.97064,5.2372413,29.0,17.0,22.0,1.0,3.846,13.0,8.0,5.703,-1.513,0.2471,4.442223536757882,,
1821,48,9702,73.273,337.455,2.818,70.437614,336.21075,1.0811355,48.0,17.0,43.0,1.0,4.99,56.0,32.0,15.08,5.59,-0.3281,3.550249304324439,,
1821,49,9702,73.0,337.091,2.818,69.930916,338.29544,1.1535221,49.0,17.0,43.0,1.0,6.21,56.0,32.0,14.74,3.01,0.355,3.693296493952845,,
1821,62,9702,46.818,380.727,9.273,43.215153,380.5527,6.5835037,62.0,17.0,43.0,1.0,4.797,56.0,32.0,9.45,-3.062,-0.1825,4.499364104306591,,
1825,25,6187,289.636,495.091,2.364,290.85226,499.7864,3.4530637,25.0,17.0,24.0,1.0,3.998,46.0,7.0,9.27,-1.658,-0.1443,4.971129578904345,,
1828,17,4948,122.545,229.636,2.364,119.99976,214.4566,0.0,17.0,17.0,17.0,1.0,0.707,10.0,27.0,-8.62,2.275,-0.4211,15.571799093797726,,
1830,17,3802,297.455,168.727,7.091,301.99942,164.6214,0.0,17.0,17.0,11.0,1.0,-0.1285,55.0,8.0,0.749,1.607,-0.477,9.369631022425596,,
1831,29,462,27.909,395.909,8.273,26.319798,395.51312,5.1269274,29.0,17.0,0.0,1.0,5.207,27.0,33.0,12.375,-0.11865,-0.1486,3.546837573906471,,
1831,30,462,28.273,396.0,8.455,26.657871,395.7615,5.231485,30.0,17.0,0.0,1.0,5.594,27.0,33.0,10.78,-1.907,-0.443,3.6133880073783926,,
1835,20,4726,486.182,411.364,0.909,493.88235,398.01047,4.1630926,20.0,18.0,16.0,1.0,3.58,9.0,9.0,1.659,0.09503,-0.09875,15.754404851747765,,
1835,24,2854,474.545,425.091,0.364,471.99988,434.43918,0.0,24.0,18.0,6.0,1.0,4.93,9.0,31.0,-7.336,-0.1357,-0.06683,9.695287573187308,,
1837,18,2666,68.182,349.182,4.636,78.268555,352.87253,5.9037204,18.0,18.0,5.0,1.0,3.389,32.0,21.0,0.4746,0.09357,-0.504,10.815069045618756,,
1841,18,5097,319.0,506.273,6.455,323.3735,507.6278,6.5767984,18.0,18.0,18.0,1.0,4.85,8.0,5.0,12.65,-3.84,0.2834,4.580155034520366,,
1841,19,2777,319.182,506.182,6.364,325.54626,509.77005,3.8487127,19.0,18.0,5.0,1.0,6.324,8.0,29.0,12.73,-0.707,0.4167,7.726873776090909,,
1841,25,511,313.727,510.909,6.182,310.1429,505.74564,6.71454,25.0,18.0,0.0,1.0,5.1,8.0,32.0,5.766,-0.5117,-0.392,6.307904418362723,,
1843,18,1110,41.909,194.727,4.273,48.48079,189.36154,3.1176236,18.0,18.0,0.0,1.0,3.89,8.0,20.0,3.973,0.2108,-0.4702,8.56221229831269,,
1843,20,1110,41.273,194.364,4.364,35.325726,191.89122,1.7229545,20.0,18.0,0.0,1.0,5.363,8.0,20.0,8.68,1.93,-0.31,6.961309524259516,,
1843,21,5305,41.273,193.909,4.364,41.051388,205.6962,7.9999976,21.0,18.0,19.0,1.0,3.348,8.0,31.0,-3.72,-1.526,0.4124,12.337247434729925,,
1844,18,4824,143.273,355.727,2.636,141.40724,349.51993,7.004096,18.0,18.0,16.0,1.0,3.342,16.0,4.0,1.477,-1.463,-1.146,7.815947864956356,,
1846,20,3975,310.0,299.364,-0.455,305.5122,300.3129,1.7253011,20.0,18.0,12.0,1.0,4.234,12.0,19.0,11.88,1.499,-0.12415,5.0788259407722585,,
1846,22,3975,301.182,303.909,-0.182,302.89853,300.2178,1.1402991,22.0,18.0,12.0,1.0,2.787,12.0,19.0,8.01,2.914,-0.12494,4.280176116792461,,
1849,28,3508,436.455,481.545,4.818,445.41232,495.69403,6.9289684,28.0,18.0,9.0,1.0,3.482,11.0,41.0,2.523,-0.51,0.0373,16.87853130782115,,
1851,32,5663,472.545,191.0,-0.636,472.7899,193.12042,2.2391713,32.0,18.0,21.0,1.0,3.14,21.0,45.0,7.38,0.2228,-0.02737,3.580889134103939,,
1853,18,407,252.364,396.818,1.091,251.79991,404.00116,1.3084083,18.0,18.0,0.0,1.0,3.16,30.0,31.0,5.484,2.154,-0.5225,7.208554049364513,,
1854,26,4398,500.636,119.091,6.182,510.9996,117.45967,5.459755,26.0,24.0,14.0,1.0,4.63,10.0,13.0,-3.943,-0.4185,1.222,10.51603919586287,,
1855,18,1227,117.0,284.909,0.364,113.825676,284.75546,4.4231086,18.0,18.0,0.0,1.0,3.244,11.0,16.0,7.234,0.2852,-0.4448,5.155217746630101,,
1859,18,4530,288.818,155.091,3.909,299.2263,156.16037,6.8154564,18.0,18.0,15.0,1.0,4.344,63.0,19.0,8.016,-2.715,0.00999,10.859270228334909,,
1859,76,12212,234.091,205.455,7.273,233.3085,201.04706,1.2402108,76.0,18.0,57.0,1.0,3.967,63.0,21.0,5.996,2.555,0.314,7.512442134568283,,
1869,19,5106,480.273,53.727,2.545,483.94296,54.08006,2.709698,19.0,18.0,18.0,1.0,4.914,29.0,9.0,9.06,0.9814,0.337,3.690580333281479,,
1873,98,15021,331.636,102.909,3.545,323.24704,108.741714,2.9866302,98.0,18.0,72.0,1.0,3.229,82.0,19.0,5.504,-0.2301,0.822,10.232642831690548,,
1875,45,8409,416.273,295.818,2.909,418.13132,293.7937,5.5301967,45.0,18.0,36.0,1.0,3.908,60.0,6.0,10.93,-1.892,0.4026,3.797606595276924,,
1879,26,5387,490.455,405.364,4.909,495.32166,401.37213,0.6390199,26.0,19.0,19.0,1.0,3.195,10.0,11.0,4.51,0.04193,-0.511,7.606059144320127,,
1879,27,5387,490.364,404.0,4.909,493.16068,398.48117,0.29231355,27.0,19.0,19.0,1.0,2.934,10.0,11.0,2.205,3.736,-0.0456,7.719630649772927,,
1883,28,5261,286.364,273.0,4.364,288.56552,267.28918,0.0,28.0,19.0,19.0,1.0,7.8,50.0,8.0,5.11,-0.5693,-0.5947,7.516957588200176,,
1885,39,4811,118.364,6.273,-0.091,121.80683,5.6986003,0.63142675,39.0,19.0,16.0,1.0,2.945,22.0,24.0,3.28,3.271,0.585,3.56439529701402,,
1890,24,3313,172.273,101.545,9.273,173.28181,99.01024,6.485912,24.0,19.0,8.0,1.0,4.78,7.0,29.0,7.13,-2.584,-0.3215,3.900072485665369,,
1890,25,3313,170.0,101.091,9.909,171.08047,100.37314,6.5267043,25.0,19.0,8.0,1.0,4.81,7.0,29.0,7.9,-1.984,-0.65,3.622521580713973,,
1892,48,7696,179.364,94.455,6.364,181.72823,97.068726,6.3028555,48.0,19.0,32.0,1.0,4.844,51.0,19.0,10.27,-3.414,-0.4114,3.5248951396965285,,
1894,36,7265,372.909,343.364,3.818,374.5783,345.82108,1.8674128,36.0,19.0,30.0,1.0,5.22,23.0,12.0,12.84,1.039,-0.1626,3.553673457312025,,
1900,23,3319,166.909,37.636,-0.273,164.61472,40.924156,0.73610157,23.0,19.0,8.0,1.0,2.824,5.0,18.0,3.373,1.102,-0.2935,4.134486253128968,,
1905,19,5376,497.727,202.0,-0.455,494.6841,196.22205,0.8514996,19.0,19.0,19.0,1.0,2.646,5.0,11.0,2.232,2.332,0.07263,6.659646223133783,,
1905,20,5604,497.909,202.545,-0.364,498.57556,207.87038,1.4761404,20.0,19.0,20.0,1.0,3.36,5.0,25.0,7.332,0.6226,-0.2583,5.673631206706374,,
1907,26,4181,255.909,467.182,8.818,255.27458,463.31232,1.1219083,26.0,19.0,13.0,1.0,2.066,17.0,15.0,2.297,-0.313,-0.10754,8.637519290491282,,
1912,22,4665,206.091,102.182,8.818,208.55466,102.89146,5.7355857,22.0,19.0,15.0,1.0,3.137,23.0,31.0,6.13,-2.13,-0.772,4.009268262918372,,
1912,23,4665,205.909,102.909,8.636,208.28778,103.65323,5.865227,23.0,19.0,15.0,1.0,4.26,23.0,31.0,5.598,-1.944,-0.1917,3.72688282601278,,
1915,43,9342,440.909,81.091,3.273,434.9991,75.424164,0.0,43.0,19.0,41.0,1.0,-0.4,60.0,21.0,-5.152,2.154,0.3674,8.817736515733264,,
1915,59,6060,432.0,87.727,3.091,432.86606,92.61471,0.6404294,59.0,19.0,23.0,1.0,4.207,60.0,42.0,11.95,5.12,-1.682,5.5357985181258496,,
1915,65,6060,431.818,86.273,3.182,431.54718,89.673004,2.029239,65.0,19.0,23.0,1.0,5.5,60.0,42.0,13.57,0.5947,-0.2374,3.60030951385253,,
1915,71,13305,420.727,90.818,2.273,423.30914,93.3629,2.5422645,71.0,19.0,63.0,1.0,6.184,60.0,21.0,17.1,1.499,-0.09283,3.635445826932433,,
1919,41,7204,417.545,100.545,8.091,423.7391,100.8433,5.080467,41.0,19.0,29.0,1.0,4.117,23.0,25.0,7.164,-0.989,0.2174,6.893414730312466,,
1921,38,8750,235.727,16.727,4.364,234.94978,4.9999957,7.9999933,38.0,19.0,38.0,1.0,9.26,29.0,10.0,-7.766,1.567,0.739,12.302322872460444,,
1929,57,12175,504.273,50.182,4.273,505.34485,44.962166,1.1042947,57.0,57.0,57.0,1.0,3.875,12.0,38.0,8.24,4.496,-0.573,6.199695370605239,,
1929,58,12548,497.091,52.182,4.0,500.6917,61.711464,0.0,58.0,57.0,58.0,1.0,0.535,12.0,8.0,-5.336,-2.633,0.3806,10.944209638767711,,
1929,59,11619,489.636,54.0,3.364,482.8712,50.385708,0.66132456,59.0,57.0,54.0,1.0,3.059,12.0,13.0,3.922,1.672,-1.241,8.132040348845035,,
1929,64,12090,453.0,61.0,2.455,450.18616,63.06474,1.8265542,64.0,57.0,56.0,1.0,4.42,12.0,5.0,9.58,1.738,-0.1445,3.5462361648285348,,
1934,19,3769,97.727,24.909,8.636,98.925766,25.55226,4.8087244,19.0,19.0,11.0,1.0,6.33,15.0,15.0,16.78,-1.0205,-0.7446,4.061879105624802,,
1935,20,1287,111.455,373.364,3.0,103.02228,370.24088,7.9999976,20.0,19.0,0.0,1.0,3.24,32.0,14.0,-8.164,0.02986,-0.006454,10.289053461461148,,
1935,24,2056,111.182,373.727,3.091,118.287704,379.4821,0.32044312,24.0,19.0,2.0,1.0,2.102,32.0,17.0,0.01007,1.125,0.1351,9.55448537446846,,
1935,25,2056,110.636,373.455,2.909,119.369385,380.42334,0.6693907,25.0,19.0,2.0,1.0,3.404,32.0,17.0,2.496,2.12,-0.04947,11.39498248048112,,
1942,73,7080,403.909,243.455,6.545,404.71124,242.87798,2.8139334,73.0,20.0,29.0,1.0,4.324,80.0,52.0,10.87,3.373,0.1467,3.859714895123154,,
1945,20,4084,429.818,96.0,9.909,432.1319,94.61022,6.21987,20.0,20.0,13.0,1.0,4.094,10.0,9.0,5.406,-1.749,0.2778,4.571137912522435,,
1945,24,5669,426.909,96.091,9.909,429.5148,94.89543,6.4402237,24.0,20.0,21.0,1.0,2.965,10.0,19.0,3.322,-1.432,-0.195,4.500221137271102,,
1945,25,6346,421.182,98.636,9.727,422.5628,99.346,6.3492103,25.0,20.0,25.0,1.0,1.5,10.0,25.0,-1.243,-0.2479,0.462,3.717549178884659,,
1945,27,6346,420.818,98.182,9.727,421.5431,98.22893,6.283065,27.0,20.0,25.0,1.0,2.781,10.0,25.0,2.299,-2.334,0.2822,3.5197529343868728,,
1950,22,5259,370.727,346.818,9.818,370.56097,346.02686,3.9932897,22.0,20.0,19.0,1.0,5.508,34.0,20.0,17.86,-0.4148,-0.73,5.880537266222029,,
1950,29,4823,369.818,345.091,9.455,370.65472,344.47928,5.7502537,29.0,20.0,16.0,1.0,4.54,34.0,20.0,8.94,-1.037,-0.0993,3.847004921255457,,
1950,39,7029,365.455,348.364,8.636,361.195,355.41702,6.6672177,39.0,20.0,28.0,1.0,3.857,34.0,39.0,3.848,-0.0884,-0.2798,8.471646526218693,,
1951,24,4984,436.636,174.636,-0.818,441.58405,173.24373,1.7149798,24.0,20.0,17.0,1.0,3.715,5.0,16.0,8.72,2.168,-0.0873,5.730410214165099,,
1952,93,17346,479.818,490.545,9.455,479.77954,491.4699,5.9305916,93.0,92.0,84.0,1.0,4.125,8.0,9.0,11.37,-2.953,0.0825,3.643950294884732,,
1952,97,15088,458.0,494.909,8.909,458.3478,492.42276,6.1856904,97.0,92.0,72.0,1.0,4.562,8.0,21.0,8.945,-2.3,-0.6113,3.703885710311836,,
1952,98,15088,457.727,494.636,9.091,459.74573,492.38565,6.049304,98.0,92.0,72.0,1.0,4.02,8.0,21.0,8.48,-3.342,-0.443,4.288503292737005,,
1954,40,2229,373.091,408.909,7.727,372.75226,405.49194,6.105712,40.0,20.0,3.0,1.0,4.766,25.0,35.0,10.11,-1.332,-0.1781,3.7973172912128335,,
1956,28,780,361.636,401.455,2.364,360.63495,407.3082,5.7119217,28.0,20.0,0.0,1.0,3.121,43.0,24.0,6.758,-3.799,0.0872,6.816937072603143,,
1956,29,5502,361.364,401.364,2.273,356.17444,391.7917,7.9999967,29.0,20.0,20.0,1.0,1.317,43.0,22.0,-6.492,0.3926,1.15,12.302802586622702,,
1956,31,6374,361.636,400.727,2.091,362.3788,409.59134,5.7958255,31.0,20.0,25.0,1.0,4.383,43.0,4.0,6.508,-0.1338,-0.6655,9.636078427506218,,
1956,32,7033,361.091,401.545,2.0,359.56317,391.0597,7.999999,32.0,20.0,28.0,1.0,0.8823,43.0,8.0,-5.79,1.104,0.2615,12.176853805433522,,
1966,21,3098,352.909,273.727,7.364,349.26556,267.90198,0.0,21.0,20.0,7.0,1.0,2.137,6.0,14.0,-7.49,2.016,-0.2668,10.07144523065086,,
1966,22,917,353.0,273.364,7.455,366.71753,264.70663,6.976229,22.0,20.0,0.0,1.0,2.463,6.0,34.0,-0.8,-1.438,-0.1953,16.228059227407343,,
1968,43,870,204.818,48.909,3.0,201.64229,50.717274,1.9090154,43.0,20.0,0.0,1.0,5.133,49.0,46.0,14.25,1.87,-0.1554,3.813821739490879,,
1970,34,7777,111.545,503.909,4.545,106.06815,510.80383,7.735979,34.0,20.0,32.0,1.0,4.35,17.0,17.0,-4.48,-0.363,1.331,9.365730811305712,,
1971,21,701,96.0,387.545,0.455,100.00828,380.49146,7.9999957,21.0,20.0,0.0,1.0,1.802,13.0,13.0,-6.848,3.14,0.119,11.07906562860869,,
1972,29,5670,434.545,97.364,7.0,432.67825,97.91113,4.0094657,29.0,20.0,21.0,1.0,4.45,12.0,15.0,12.305,-1.863,-0.12366,3.567548485848031,,
1973,41,3109,226.273,486.091,1.545,230.40094,481.51016,6.7874207,41.0,20.0,7.0,1.0,2.717,49.0,50.0,3.787,-2.008,0.7104,8.09363691704716,,
1974,54,6340,478.091,191.545,1.636,482.25092,188.75813,2.3718352,54.0,20.0,25.0,1.0,4.74,68.0,60.0,13.055,0.706,0.3997,5.060931954181858,,
1976,20,532,182.182,487.727,-0.364,186.32741,487.01038,1.4432237,20.0,20.0,0.0,1.0,3.568,7.0,29.0,7.73,0.3872,-0.0702,4.578648904899964,,
1979,24,5740,147.364,193.364,-0.636,151.10373,191.99133,0.78144217,24.0,21.0,21.0,1.0,3.986,15.0,10.0,3.836,2.004,-0.6973,4.2283502346771575,,
1979,27,5741,132.455,203.182,-0.636,129.65382,202.43335,2.900718,27.0,21.0,21.0,1.0,3.973,15.0,14.0,9.68,0.03482,0.013306,4.573342369255126,,
1981,31,6645,435.0,259.364,3.273,432.76822,261.84366,4.6201873,31.0,20.0,26.0,1.0,4.688,40.0,8.0,9.84,-0.5425,0.2695,3.5978423124536008,,
1981,34,3274,434.364,260.636,3.273,430.1258,264.50952,5.571478,34.0,20.0,8.0,1.0,5.062,40.0,67.0,10.43,-1.525,-0.637,6.1846178173662,,
1988,46,9387,318.636,364.818,9.091,316.60132,365.12674,5.005622,46.0,20.0,41.0,1.0,3.965,29.0,11.0,5.273,-0.511,-0.2864,4.574446031257134,,
1995,21,4176,274.636,460.091,6.364,288.30923,457.12982,6.860401,21.0,21.0,13.0,1.0,3.805,8.0,13.0,2.836,-0.9385,-0.2461,13.999007806916204,,
1995,23,575,272.636,459.909,6.182,272.39667,454.40353,6.907008,23.0,21.0,0.0,1.0,5.37,8.0,16.0,4.523,-1.483,-0.4155,5.558157551730974,,
1995,28,6177,267.909,463.818,6.0,262.10785,457.72043,0.0,28.0,21.0,24.0,1.0,2.883,8.0,36.0,-8.39,-0.4048,-0.1267,10.336038952490435,,
1996,27,4799,221.545,156.0,9.818,224.0166,154.54068,6.1251307,27.0,27.0,16.0,1.0,3.887,19.0,27.0,5.562,-0.4993,-0.3174,4.677147110074963,,
1996,29,6632,213.182,159.636,9.091,213.4496,157.8952,5.8587923,29.0,27.0,26.0,1.0,4.863,19.0,9.0,6.402,-1.6,-0.37,3.680918501670381,,
